LAMMPS data file via POLY

8140 atoms
1 atom types

0.00000000 100.00000000 xlo xhi
0.00000000 50.00000000 ylo yhi
0.00000000 30.00000000 zlo zhi

Masses

  1 30.973762


Atoms

  335 1 46.99558065 24.89443264 11.17101678
  336 1 46.99558065 24.89443264 13.72367226
  337 1 46.99558065 24.89443264 16.27632774
  338 1 46.99558065 24.89443264 18.82898322
  339 1 46.99558065 24.89443264 21.38163870
  340 1 46.99558065 24.89443264 23.93429418
  341 1 45.43279743 23.33086425 2.23672260
  342 1 45.43279743 23.33086425 4.78937808
  343 1 45.43279743 23.33086425 7.34203356
  344 1 45.43279743 23.33086425 9.89468904
  345 1 45.43279743 23.33086425 12.44734452
  346 1 45.43279743 23.33086425 15.00000000
  347 1 45.43279743 23.33086425 17.55265548
  348 1 45.43279743 23.33086425 20.10531096
  349 1 45.43279743 23.33086425 22.65796644
  350 1 45.43279743 23.33086425 25.21062192
  351 1 43.87001421 21.76729586 0.96039486
  352 1 43.87001421 21.76729586 3.51305034
  353 1 43.87001421 21.76729586 6.06570582
  354 1 43.87001421 21.76729586 8.61836130
  355 1 43.87001421 21.76729586 11.17101678
  356 1 43.87001421 21.76729586 13.72367226
  357 1 43.87001421 21.76729586 16.27632774
  358 1 43.87001421 21.76729586 18.82898322
  359 1 43.87001421 21.76729586 21.38163870
  360 1 43.87001421 21.76729586 23.93429418
  361 1 43.87001421 21.76729586 26.48694966
  362 1 42.30723100 20.20372746 2.23672260
  363 1 42.30723100 20.20372746 4.78937808
  364 1 42.30723100 20.20372746 7.34203356
  365 1 42.30723100 20.20372746 9.89468904
  366 1 42.30723100 20.20372746 12.44734452
  367 1 42.30723100 20.20372746 15.00000000
  368 1 42.30723100 20.20372746 17.55265548
  369 1 42.30723100 20.20372746 20.10531096
  370 1 42.30723100 20.20372746 22.65796644
  371 1 42.30723100 20.20372746 25.21062192
  372 1 42.30723100 20.20372746 27.76327740
  373 1 40.74444778 18.64015907 0.96039486
  374 1 40.74444778 18.64015907 3.51305034
  375 1 40.74444778 18.64015907 6.06570582
  376 1 40.74444778 18.64015907 8.61836130
  377 1 40.74444778 18.64015907 11.17101678
  378 1 40.74444778 18.64015907 13.72367226
  379 1 40.74444778 18.64015907 16.27632774
  380 1 40.74444778 18.64015907 18.82898322
  381 1 40.74444778 18.64015907 21.38163870
  382 1 40.74444778 18.64015907 23.93429418
  383 1 40.74444778 18.64015907 26.48694966
  384 1 40.74444778 18.64015907 29.03960514
  385 1 39.18166456 17.07659068 2.23672260
  386 1 39.18166456 17.07659068 4.78937808
  387 1 39.18166456 17.07659068 7.34203356
  388 1 39.18166456 17.07659068 9.89468904
  389 1 39.18166456 17.07659068 12.44734452
  390 1 39.18166456 17.07659068 15.00000000
  391 1 39.18166456 17.07659068 17.55265548
  392 1 39.18166456 17.07659068 20.10531096
  393 1 39.18166456 17.07659068 22.65796644
  394 1 39.18166456 17.07659068 25.21062192
  395 1 39.18166456 17.07659068 27.76327740
  396 1 37.61888135 15.51302229 0.96039486
  397 1 37.61888135 15.51302229 3.51305034
  398 1 37.61888135 15.51302229 6.06570582
  399 1 37.61888135 15.51302229 8.61836130
  400 1 37.61888135 15.51302229 11.17101678
  401 1 37.61888135 15.51302229 13.72367226
  402 1 37.61888135 15.51302229 16.27632774
  403 1 37.61888135 15.51302229 18.82898322
  404 1 37.61888135 15.51302229 21.38163870
  405 1 37.61888135 15.51302229 23.93429418
  406 1 37.61888135 15.51302229 26.48694966
  407 1 37.61888135 15.51302229 29.03960514
  408 1 36.05609813 13.94945390 2.23672260
  409 1 36.05609813 13.94945390 4.78937808
  410 1 36.05609813 13.94945390 7.34203356
  411 1 36.05609813 13.94945390 9.89468904
  412 1 36.05609813 13.94945390 12.44734452
  413 1 36.05609813 13.94945390 15.00000000
  414 1 36.05609813 13.94945390 17.55265548
  415 1 36.05609813 13.94945390 20.10531096
  416 1 36.05609813 13.94945390 22.65796644
  417 1 36.05609813 13.94945390 25.21062192
  418 1 36.05609813 13.94945390 27.76327740
  419 1 34.49331491 12.38588550 0.96039486
  420 1 34.49331491 12.38588550 3.51305034
  421 1 34.49331491 12.38588550 6.06570582
  422 1 34.49331491 12.38588550 8.61836130
  423 1 34.49331491 12.38588550 11.17101678
  424 1 34.49331491 12.38588550 13.72367226
  425 1 34.49331491 12.38588550 16.27632774
  426 1 34.49331491 12.38588550 18.82898322
  427 1 34.49331491 12.38588550 21.38163870
  428 1 34.49331491 12.38588550 23.93429418
  429 1 34.49331491 12.38588550 26.48694966
  430 1 34.49331491 12.38588550 29.03960514
  431 1 32.93053169 10.82231711 2.23672260
  432 1 32.93053169 10.82231711 4.78937808
  433 1 32.93053169 10.82231711 7.34203356
  434 1 32.93053169 10.82231711 9.89468904
  435 1 32.93053169 10.82231711 12.44734452
  436 1 32.93053169 10.82231711 15.00000000
  437 1 32.93053169 10.82231711 17.55265548
  438 1 32.93053169 10.82231711 20.10531096
  439 1 32.93053169 10.82231711 22.65796644
  440 1 32.93053169 10.82231711 25.21062192
  441 1 32.93053169 10.82231711 27.76327740
  442 1 31.36774848 9.25874872 0.96039486
  443 1 31.36774848 9.25874872 3.51305034
  444 1 31.36774848 9.25874872 6.06570582
  445 1 31.36774848 9.25874872 8.61836130
  446 1 31.36774848 9.25874872 11.17101678
  447 1 31.36774848 9.25874872 13.72367226
  448 1 31.36774848 9.25874872 16.27632774
  449 1 31.36774848 9.25874872 18.82898322
  450 1 31.36774848 9.25874872 21.38163870
  451 1 31.36774848 9.25874872 23.93429418
  452 1 31.36774848 9.25874872 26.48694966
